"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","CHN.PPPPC.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Units","275.489","312.603","356.162","404.691","476.786","550.391","602.025","677.821","768.187","819.455","870.593","979.114","1131.236","1304.443","1490.100","1671.209","1852.057","2038.952","2205.211","2390.260","2633.912","2897.072","3192.526","3563.585","4005.970","4577.071","5287.778","6167.771","6857.571","7514.889","8371.264","9294.288","10134.737","11042.848","11996.128","12893.511","13807.500","14939.698","16225.262","17586.601","18384.413","20827.093","23016.507","25188.583","27132.068","29191.097"
"IMF.RES:WEO(9.0.0)","RUS.GGXCNL.A","OBS_VALUE","Russian Federation","Net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","-209.165","-185.349","243.205","286.637","78.051","191.071","834.616","1758.992","2250.584","1989.684","2012.072","-2448.618","-1584.726","860.724","260.387","-848.224","-845.586","-2813.691","-3142.138","-1349.108","3036.213","2115.018","-4294.213","1045.812","-2107.617","-3910.212","-3225.391","-5825.418"
"IMF.RES:WEO(9.0.0)","RUS.NGDP_R.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Constant prices, Domestic currency","Annual","Billions","","","","","","","","","","","","","84500.613","77149.060","67351.129","64589.733","62276.592","63133.440","59775.411","63569.653","69961.230","73516.427","77005.638","82669.961","88577.098","94243.009","101938.165","110654.194","116460.316","107352.032","112196.123","116678.031","121373.255","123503.868","124413.187","121958.864","122195.063","124427.207","127919.058","130730.816","127261.672","134727.467","132792.940","138214.244","144218.789","145096.774"
"IMF.RES:WEO(9.0.0)","CHN.NGDP_D.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Price deflator, Index","Annual","Units","17.141","17.678","17.752","17.949","18.824","20.719","21.704","22.809","25.576","27.839","29.472","31.157","33.647","38.726","46.636","53.024","56.534","57.446","56.867","56.112","57.278","58.548","58.973","60.552","64.739","67.589","70.213","75.783","81.333","81.267","86.376","93.549","96.497","99.020","99.917","100.000","101.171","105.150","108.809","110.625","111.913","116.038","118.320","117.823","116.973","115.688"
"IMF.RES:WEO(9.0.0)","RUS.GGSB_NPGDP.A","OBS_VALUE","Russian Federation","Structural balance, General government, Percent","Annual","Units","","","","","","","","","","","","","","","","","","","","-2.586","2.629","2.739","0.894","1.575","4.707","7.763","7.671","4.738","3.474","-4.418","-2.432","1.486","0.073","-1.560","-0.134","-3.077","-3.209","-1.002","2.944","1.987","-4.362","0.501","-1.200","-2.656","-2.356","-2.989"
"IMF.RES:WEO(9.0.0)","CHN.GGSB.A","OBS_VALUE","China, People's Republic of","Structural balance, General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","-74.743","-68.849","-68.427","-80.725","-176.252","-225.639","-190.467","-226.682","-192.105","-83.518","-102.417","-145.300","-36.953","-103.378","-635.507","-165.147","-33.226","-50.976","-301.200","-164.330","-1564.824","-2356.293","-2675.146","-3789.288","-5764.476","-8869.558","-6583.922","-8127.584","-7959.421","-9345.837","-11598.436"
"IMF.RES:WEO(9.0.0)","RUS.NGDP_FY.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency","Annual","Billions","","","","","","","","","","","0.690","1.490","20.360","183.680","654.260","1530.710","2151.370","2509.960","2817.610","5167.820","7827.470","9582.540","11604.470","14152.130","18243.960","23153.900","28840.560","35623.160","44226.320","41580.160","49617.630","60114.001","68103.450","72985.701","79030.040","83087.360","85616.084","91843.154","103861.651","109608.306","107658.131","134727.467","156940.923","176413.587","201152.092","212805.341"
"IMF.RES:WEO(9.0.0)","CHN.GGX.A","OBS_VALUE","China, People's Republic of","Expenditure, General government, Domestic currency","Annual","Billions","","","130.761","149.013","170.968","204.914","232.160","249.266","276.599","320.774","345.374","366.095","400.306","481.337","603.633","682.372","793.755","923.356","1079.818","1353.667","1623.550","1925.158","2240.215","2499.895","2883.589","3427.928","4027.173","4909.835","7164.539","8918.784","10251.183","13128.594","15178.679","17034.245","18678.819","21837.060","24107.253","27053.988","30474.167","33835.277","36310.049","37434.933","40260.431","42366.255","44449.800","47058.800"
"IMF.RES:WEO(9.0.0)","RUS.NGDPDPC.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","","","","","","","","","","","","","482.052","1321.758","1979.466","2263.019","2785.402","2932.106","1948.061","1424.158","1898.156","2250.194","2546.771","3190.618","4395.821","5697.629","7416.316","9757.464","12463.775","9160.090","11432.391","14310.213","15284.626","15913.343","13984.458","9231.589","8689.358","10665.280","11182.638","11465.343","10074.759","12423.263","15646.291","14079.095","14871.314","17445.750"
"IMF.RES:WEO(9.0.0)","RUS.LUR.A","OBS_VALUE","Russian Federation","Unemployment rate","Annual","Units","","","","","","","","","","","","","5.200","5.900","8.100","8.300","9.258","10.808","11.875","13.033","10.558","8.942","8.042","8.233","7.733","7.150","7.050","6.025","6.233","8.242","7.358","6.508","5.450","5.500","5.158","5.575","5.525","5.200","4.800","4.600","5.767","4.833","3.950","3.167","2.508","2.400"
