"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","RUS.TMG_RPCH.A","OBS_VALUE","Russian Federation","Imports of goods, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","","","","","","","","","","","","","","-9.400","9.400","8.100","9.975","60.504","-16.816","-33.355","12.851","14.043","21.275","3.447","7.987","8.393","32.225","36.350","21.250","-36.350","33.000","20.400","4.425","-3.675","-8.000","-25.225","1.450","16.725","2.125","3.025","-3.325","17.125","-14.752","7.161","18.189","-5.245"
"IMF.RES:WEO(9.0.0)","CHN.GGXONLB_NGDP.A","OBS_VALUE","China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","-0.750","-0.486","-0.684","-0.697","-0.618","-1.334","-0.436","-0.190","0.012","-0.225","-1.642","-2.088","-1.848","-2.292","-1.667","-1.026","-0.952","-0.689","0.441","0.379","-1.300","0.088","0.388","0.184","-0.318","-0.126","-1.996","-2.659","-2.596","-3.409","-5.166","-8.622","-5.011","-6.399","-5.794","-6.389","-7.340"
"IMF.RES:WEO(9.0.0)","CHN.GGSB_NPGDP.A","OBS_VALUE","China, People's Republic of","Structural balance, General government, Percent","Annual","Units","","","","","","","","","","","","","","","","-1.243","-0.972","-0.862","-0.932","-1.886","-2.153","-1.618","-1.741","-1.305","-0.482","-0.512","-0.634","-0.136","-0.324","-1.801","-0.398","-0.067","-0.092","-0.491","-0.246","-2.201","-3.073","-3.147","-4.039","-5.669","-8.170","-5.551","-6.405","-6.021","-6.816","-8.203"
"IMF.RES:WEO(9.0.0)","RUS.PCPIE.A","OBS_VALUE","Russian Federation","All Items, Consumer price index (CPI), End-of-period (EoP)","Annual","Units","","","","","","","","","","","0.001","0.003","0.076","0.716","2.253","5.213","6.350","7.050","13.003","17.757","21.344","25.310","29.121","32.612","36.441","40.419","44.055","49.284","55.829","60.740","66.071","70.102","74.712","79.531","88.568","100.000","105.375","108.034","112.646","116.077","121.779","132.000","147.739","158.696","173.794","186.916"
"IMF.RES:WEO(9.0.0)","CHN.GGX_NGDP.A","OBS_VALUE","China, People's Republic of","Expenditure, General government, Percent of GDP","Annual","Units","","","24.231","24.647","23.407","22.456","22.303","20.399","18.154","18.562","18.172","16.533","14.649","13.432","12.368","11.076","10.989","11.508","12.596","14.850","16.071","17.211","18.206","17.968","17.605","17.988","18.056","17.867","22.157","25.222","24.664","26.647","27.694","28.104","28.412","31.012","31.692","32.014","32.642","33.609","34.838","31.911","32.641","32.734","32.945","33.652"
"IMF.RES:WEO(9.0.0)","RUS.NGDPPC.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Annual","Units","","","","","","","","","","","4.663","10.041","137.069","1237.246","4408.525","10316.441","14520.573","16968.893","19080.348","35103.949","53394.524","65644.410","79862.017","97837.990","126634.968","161330.068","201612.256","249452.971","309833.172","291207.468","347342.071","420324.148","474990.847","507530.178","539424.119","565361.826","580916.041","621870.532","702627.739","741097.434","728860.204","915156.814","1069708.398","1205841.866","1376477.900","1461255.999"
"IMF.RES:WEO(9.0.0)","CHN.NGDPDPC.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","307.533","289.007","280.500","297.077","301.687","293.534","280.420","300.370","368.709","407.249","347.545","359.122","422.899","524.750","472.505","609.022","709.843","782.914","829.995","875.403","962.844","1058.845","1157.325","1300.767","1522.400","1778.515","2128.055","2733.851","3503.948","3878.741","4578.228","5651.562","6388.178","7155.028","7774.592","8174.332","8222.250","8930.226","10040.460","10334.456","10695.519","12877.533","12968.171","12960.729","13313.942","13806.031"
"IMF.RES:WEO(9.0.0)","RUS.GGXONLB.A","OBS_VALUE","Russian Federation","Primary net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","-88.812","97.556","556.223","523.100","300.583","395.714","1028.042","1931.558","2399.355","1989.248","2094.818","-2576.604","-1527.602","1027.073","446.080","-602.187","-534.899","-2605.463","-2769.850","-881.236","3556.903","2411.081","-4032.459","1498.102","-1722.402","-3883.841","-3019.248","-3697.280"
"IMF.RES:WEO(9.0.0)","CHN.PPPGDP.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","271.921","312.828","362.053","416.864","497.560","582.594","647.219","740.858","852.888","923.559","995.375","1134.039","1325.481","1545.987","1785.885","2024.185","2266.714","2520.675","2751.244","3006.613","3338.299","3697.446","4100.895","4605.114","5207.280","5984.795","6950.678","8149.415","9106.992","10028.619","11225.111","12539.482","13775.337","15098.444","16512.190","17835.078","19224.459","20917.221","22803.146","24798.514","25960.998","29420.351","32493.554","35507.590","38209.549","41015.824"
"IMF.RES:WEO(9.0.0)","RUS.TXG_RPCH.A","OBS_VALUE","Russian Federation","Exports of goods, Volume, Free on board (FOB), Percent change","Annual","Units","","","","","","","","","","","","","","-2.100","4.900","7.666","2.036","-0.967","4.765","-8.833","7.257","3.700","9.375","12.400","10.500","4.700","4.900","4.675","0.850","-2.525","8.925","-4.450","-0.750","4.150","-0.150","6.350","2.550","3.050","4.200","-3.000","-1.500","-1.750","-7.754","-11.203","-2.498","2.215"
"IMF.RES:WEO(9.0.0)","RUS.PCPI.A","OBS_VALUE","Russian Federation","All Items, Consumer price index (CPI), Period average","Annual","Units","","","","","","","","","","0.001","0.001","0.002","0.035","0.345","1.406","4.179","6.174","7.085","9.047","16.804","20.299","24.659","28.552","32.454","35.987","40.553","44.473","48.479","55.320","61.763","65.994","71.564","75.196","80.274","86.554","100.000","107.042","110.985","114.180","119.284","123.318","131.573","149.664","158.434","171.811","187.278"
"IMF.RES:WEO(9.0.0)","CHN.GGR.A","OBS_VALUE","China, People's Republic of","Revenue, General government, Domestic currency","Annual","Billions","","","131.948","148.955","171.476","213.340","228.572","240.720","261.933","305.012","331.738","343.139","367.061","449.482","521.810","624.220","740.799","865.114","987.595","1144.408","1339.523","1638.604","1890.364","2171.525","2639.647","3164.929","3776.020","4925.778","7156.660","8310.115","10103.313","13081.104","15016.042","16535.608","18237.211","20076.700","21576.953","24232.569","26551.455","27790.093","26342.871","30511.650","31233.127","33684.291","34542.300","35070.300"
"IMF.RES:WEO(9.0.0)","CHN.NGDP_FY.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency","Annual","Billions","454.870","493.040","539.650","604.580","730.410","912.500","1040.930","1221.950","1523.650","1728.080","1900.600","2214.290","2732.600","3583.440","4880.770","6160.640","7223.170","8023.610","8572.990","9115.370","10102.460","11185.530","12304.740","13913.160","16379.660","19056.630","22303.690","27480.190","32335.100","35360.640","41562.510","49268.040","54808.880","60612.500","65743.250","70415.750","76067.210","84506.670","93358.130","100672.280","104224.490","117310.970","123341.280","129427.170","134921.010","139838.437"
"IMF.RES:WEO(9.0.0)","CHN.GGXCNL_NGDP.A","OBS_VALUE","China, People's Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","0.220","-0.010","0.070","0.923","-0.345","-0.699","-0.963","-0.912","-0.717","-1.037","-1.217","-0.889","-1.676","-0.944","-0.733","-0.726","-1.076","-2.296","-2.811","-2.562","-2.843","-2.360","-1.489","-1.380","-1.126","0.058","-0.024","-1.721","-0.356","-0.096","-0.297","-0.823","-0.672","-2.500","-3.326","-3.339","-4.202","-6.005","-9.563","-5.902","-7.319","-6.708","-7.343","-8.573"
"IMF.RES:WEO(9.0.0)","CHN.TX_RPCH.A","OBS_VALUE","China, People's Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","","","","","","","","","","","","","","","","","","","8.895","5.729","26.458","11.217","25.079","31.500","26.882","20.151","20.671","17.424","5.582","-9.002","12.268","11.153","6.826","9.602","9.296","-0.065","1.636","6.904","4.406","1.519","-2.502","18.258","-0.151","2.642","12.646","10.210"
"IMF.RES:WEO(9.0.0)","CHN.PCPI.A","OBS_VALUE","China, People's Republic of","All Items, Consumer price index (CPI), Period average","Annual","Units","17.776","18.220","18.584","18.956","19.468","21.279","22.662","24.316","28.887","34.087","35.196","36.464","38.780","44.438","55.224","64.492","69.873","71.800","71.246","70.243","70.489","71.003","70.455","71.261","74.043","75.387","76.513","80.144","84.845","84.251","87.061","91.760","94.164","96.664","98.559","100.000","102.004","103.604","105.771","108.827","111.554","112.578","114.802","115.063","115.307","115.322"
"IMF.RES:WEO(9.0.0)","RUS.PPPEX.A","OBS_VALUE","Russian Federation","Rate, Domestic currency per international dollar in PPP terms, ICP benchmarks 2017-2021","Annual","Units","","","","","","","","","","","","","0.013","0.121","0.484","1.157","1.656","1.874","2.197","3.736","5.028","5.729","6.522","7.266","8.513","9.846","10.999","12.185","14.102","14.295","16.126","18.407","19.680","20.380","21.532","22.880","23.309","24.124","24.698","23.934","23.145","23.685","26.133","27.217","29.021","29.792"
"IMF.RES:WEO(9.0.0)","CHN.NGDPPC.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Annual","Units","460.838","492.685","530.869","586.925","699.915","862.061","968.244","1117.978","1372.336","1533.291","1662.337","1911.788","2332.147","3023.566","4072.399","5086.352","5901.813","6490.229","6871.530","7246.729","7970.823","8764.235","9579.177","10766.450","12600.902","14574.192","16967.691","20798.000","24348.353","26497.295","30995.749","36517.566","40323.774","44331.363","47762.558","50905.650","54633.425","60357.165","66427.683","71394.729","73807.106","83046.135","87367.650","91813.807","95805.529","99523.476"
"IMF.RES:WEO(9.0.0)","RUS.NGSD_NGDP.A","OBS_VALUE","Russian Federation","Gross national savings, Percent of GDP","Annual","Units","","","","","","","","","","","","","37.356","29.386","17.324","21.667","21.409","17.615","11.626","23.357","32.721","29.311","25.315","25.928","28.131","28.516","27.957","27.228","29.150","21.072","24.788","29.014","27.806","24.732","25.198","27.144","25.006","25.650","28.916","26.533","25.833","29.841","33.559","29.406","29.205","28.469"
"IMF.RES:WEO(9.0.0)","RUS.GGXONLB_NGDP.A","OBS_VALUE","Russian Federation","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","-3.152","1.888","7.106","5.459","2.590","2.796","5.635","8.342","8.319","5.584","4.737","-6.197","-3.079","1.709","0.655","-0.825","-0.677","-3.136","-3.235","-0.960","3.425","2.200","-3.746","1.112","-1.097","-2.202","-1.501","-1.737"
"IMF.RES:WEO(9.0.0)","RUS.GGXWDG_NGDP.A","OBS_VALUE","Russian Federation","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","51.519","135.193","92.379","55.868","44.438","37.577","28.334","20.828","14.851","9.804","8.033","7.446","9.918","10.105","10.340","11.167","12.348","15.136","15.286","14.849","14.311","13.620","13.748","19.156","16.524","18.482","19.468","20.251","23.050"
"IMF.RES:WEO(9.0.0)","RUS.TM_RPCH.A","OBS_VALUE","Russian Federation","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","","","","","","","","","","","","","","-9.400","9.400","8.867","-3.760","32.042","18.442","-39.024","14.535","16.955","19.019","6.200","11.524","10.037","26.976","34.386","22.180","-32.624","28.980","20.092","7.203","1.117","-7.821","-25.818","-4.283","16.808","2.692","2.815","-11.824","16.640","-13.899","7.120","17.143","-5.372"
"IMF.RES:WEO(9.0.0)","RUS.GGXWDG.A","OBS_VALUE","Russian Federation","Gross debt, General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","1293.116","3809.220","4774.000","4373.080","4258.304","4360.634","4009.893","3799.833","3438.500","2827.500","2861.500","3293.200","4124.000","5013.993","6215.880","7605.406","9012.320","11961.848","12701.083","12713.409","13143.740","14145.558","15068.422","20623.130","22262.826","29005.476","34344.307","40734.442","49052.250"
"IMF.RES:WEO(9.0.0)","CHN.LP.A","OBS_VALUE","China, People's Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","987.050","1000.720","1016.540","1030.080","1043.570","1058.510","1075.070","1093.000","1110.260","1127.040","1143.330","1158.230","1171.710","1185.170","1198.500","1211.210","1223.890","1236.260","1247.610","1257.860","1267.430","1276.270","1284.530","1292.270","1299.880","1307.560","1314.480","1321.290","1328.020","1334.500","1340.910","1349.160","1359.220","1367.260","1376.460","1383.260","1392.320","1400.110","1405.410","1410.080","1412.120","1412.600","1411.750","1409.670","1408.280","1405.080"
"IMF.RES:WEO(9.0.0)","CHN.BCA.A","OBS_VALUE","China, People's Republic of","Current account balance (credit less debit), US dollar","Annual","Billions","","","","","","","","","","","","","","","","","","36.963","31.471","21.114","20.432","17.405","35.422","43.052","68.941","132.378","231.843","353.183","420.569","243.257","237.810","136.097","215.392","148.204","236.047","293.022","191.337","188.676","24.131","102.910","248.836","352.886","443.374","263.382","423.919","640.834"
"IMF.RES:WEO(9.0.0)","CHN.NGDP_RPCH.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","7.910","5.100","9.000","10.800","15.200","13.501","8.900","11.700","11.200","4.200","3.888","10.203","14.277","13.936","13.102","11.016","9.968","9.319","7.934","7.757","8.572","8.319","9.214","10.121","10.115","11.437","12.665","14.154","9.638","9.445","10.587","9.451","7.848","7.771","7.491","7.018","6.776","6.891","6.759","6.065","2.337","8.556","3.112","5.377","5.003","4.796"
"IMF.RES:WEO(9.0.0)","CHN.GGXCNL.A","OBS_VALUE","China, People's Republic of","Net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","","","1.187","-0.058","0.508","8.426","-3.588","-8.545","-14.666","-15.762","-13.636","-22.956","-33.245","-31.855","-81.823","-58.152","-52.956","-58.242","-92.223","-209.259","-284.027","-286.554","-349.851","-328.370","-243.942","-262.999","-251.153","15.943","-7.880","-608.669","-147.870","-47.490","-162.637","-498.637","-441.608","-1760.360","-2530.300","-2821.419","-3922.712","-6045.184","-9967.178","-6923.283","-9027.304","-8681.964","-9907.500","-11988.500"
"IMF.RES:WEO(9.0.0)","CHN.LUR.A","OBS_VALUE","China, People's Republic of","Unemployment rate","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.000","4.930","5.150","5.617","5.117","5.583","5.217","5.117","5.100"
"IMF.RES:WEO(9.0.0)","RUS.PCPIEPCH.A","OBS_VALUE","Russian Federation","All Items, Consumer price index (CPI), End-of-period (EoP), percent change","Annual","Units","","","","","","","","","","","","235.556","2512.252","840.056","214.768","131.326","21.812","11.032","84.436","36.558","20.200","18.584","15.056","11.988","11.741","10.915","8.996","11.869","13.282","8.797","8.777","6.101","6.576","6.450","11.362","12.908","5.375","2.523","4.269","3.046","4.912","8.393","11.923","7.417","9.514","7.551"
"IMF.RES:WEO(9.0.0)","RUS.GGX_NGDP.A","OBS_VALUE","Russian Federation","Expenditure, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","39.683","34.287","30.651","31.464","33.818","32.599","29.628","29.458","29.040","31.942","32.010","38.596","35.505","33.261","34.029","34.652","34.938","35.273","36.586","34.830","32.621","33.752","39.153","34.939","35.161","35.702","36.871","37.835"
"IMF.RES:WEO(9.0.0)","RUS.PPPSH.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021","Annual","Units","","","","","","","","","","","","","4.907","4.398","3.733","3.453","3.208","3.125","2.882","2.962","3.101","3.180","3.242","3.357","3.421","3.479","3.578","3.693","3.780","3.507","3.486","3.492","3.519","3.466","3.375","3.202","3.111","3.053","3.170","3.258","3.316","3.622","3.445","3.467","3.502","3.418"
"IMF.RES:WEO(9.0.0)","RUS.LP.A","OBS_VALUE","Russian Federation","Population, Persons for countries / Index for country groups","Annual","Millions","","","","","","","","","","147.399","147.969","148.394","148.538","148.459","148.408","148.376","148.160","147.915","147.671","147.215","146.597","145.976","145.306","144.649","144.067","143.519","143.050","142.805","142.742","142.785","142.849","143.018","143.378","143.806","146.508","146.963","147.381","147.689","147.819","147.900","147.708","147.218","146.714","146.299","146.135","145.632"
"IMF.RES:WEO(9.0.0)","RUS.BCA_NGDPD.A","OBS_VALUE","Russian Federation","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","","-1.676","1.325","3.044","2.215","2.448","-0.193","0.025","10.901","16.309","9.758","7.424","7.178","9.247","10.320","8.702","5.181","5.842","3.852","4.130","4.753","3.253","1.461","2.807","4.996","1.911","2.043","6.998","3.872","2.377","6.832","10.356","2.398","2.907","1.742"
"IMF.RES:WEO(9.0.0)","RUS.NGDP_RPCH.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","","","","","","","","","","","","","","-8.700","-12.700","-4.100","-3.581","1.376","-5.319","6.347","10.054","5.082","4.746","7.356","7.145","6.397","8.165","8.550","5.247","-7.821","4.512","3.995","4.024","1.755","0.736","-1.973","0.194","1.827","2.806","2.198","-2.654","5.866","-1.436","4.083","4.344","0.609"
"IMF.RES:WEO(9.0.0)","RUS.PCPIPCH.A","OBS_VALUE","Russian Federation","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","","","","","","","","","","","","135.648","1569.077","874.255","307.547","197.300","47.752","14.761","27.686","85.746","20.799","21.477","15.789","13.663","10.889","12.685","9.669","9.007","14.111","11.647","6.849","8.440","5.075","6.754","7.823","15.534","7.042","3.683","2.878","4.470","3.382","6.694","13.750","5.859","8.444","9.002"
